company,location,title,post_date,salary,description,url,role
The Home Depot,"Atlanta, GA",Data Scientist ,30+,," 
 POSITION PURPOSE<br/>
The Data Scientist will develop the analytical infrastructure and computational capabilities that drive decision making and impact the bottom line performance of homedepot.com. By partnering with business leaders and leveraging company and industry data, this role will develop predictive systems and algorithms for identifying trends and driving business solutions. This position's primary focus is to manipulate large datasets to extract meaningful business information using statistics and machine learning techniques.<br/>
MAJOR TASKS, RESPONSIBILITES AND KEY ACCOUNTABILITIES<br/>
50%-Design and develop algorithms and models to use against large datasets to create business insights<br/>
20%-Establish scalable, efficient processes for large scale data analyses, model development and model implementation<br/>
20%-Present analysis and resulting recommendations to senior management; Leverage data to present a compelling business case to optimize investments and operations<br/>
10%-Communicate and educate technical and non-technical employees on analytics and data-driven decision making<br/>
NATURE AND SCOPE<br/>
This position reports to Head of Data Science or Sr. Data Scientist<br/>
This position has no Direct Reports<br/>
ENVIRONMENTAL JOB REQUIREMENTS<br/>
Environment:<br/>
Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.<br/>
Travel:<br/>
Typically requires overnight travel less than 10% of the time.<br/>
Additional Environmental Job Requirements:
MINIMUM QUALIFICATIONS<br/>
Must be eighteen years of age or older.<br/>
Must be legally permitted to work in the United States.<br/>
Additional Minimum Qualifications:<br/>
<br/>
Education Required:<br/>
The knowledge, skills and abilities typically acquired through the completion of a master's degree program or equivalent degree in a field of study related to the job.<br/>
Years of Relevant Work Experience: 0 years<br/>
Physical Requirements:<br/>
Most of the time is spent sitting in a comfortable position and there is frequent opportunity to move about. On rare occasions there may be a need to move or lift light articles.<br/>
Additional Qualifications:<br/>
Master's in Computer Science, Math or related quantitative field (or BS/BA in Computer Science, Math or related quantitative field and 5 years of data mining experience).Work experience with Hadoop, SAS, HBASE, Cassandra or other similar development platforms.Expert knowledge in large scale information retrieval and statistical analysis.
Preferred Qualifications:<br/>
3 years of experience in data mining and statistical analysisPrevious work experience in ecommerceExperience with large-scale data analysis and a demonstrated ability to identify keyInsights from data to solve business problems
Knowledge, Skills, Abilities and Competencies:- Ability to build scalable systems that analyze huge data sets and make actionable recommendations<br/>
Strong communication and data presentation skillsAbility to quickly adapt to new technologies, tools and techniquesFlexible and responsive; able to perform in a fast paced, dynamic work environment and meet aggressive deadlinesAbility to work with technical and non-technical team members",https://www.indeed.com/rc/clk?jk=ed219d1f9dd9d605&fccid=82e58e9861d48566&vjs=3,Data Scientist
Verizon,"Alpharetta, GA 30022",Distinguished Data Scientist ,9,," 
 What you’ll be doing...
This is a senior level technical role in the company. This position will help lead innovations through building and applying cutting edge machine learning techniques and AI technology to drive business growth. It will lead strategic initiatives and research in developing AI technology and machine learning algorithms and techniques. You will provide guidance to teams of talented data scientists and machine learning engineers in developing and delivering the next generation AI/ML solutions to the business.
You’ll be a thought leader who challenges the status quo and brings new, innovative concepts and technology into Verizon. You’ll be an educator and evangelist who is influential and persuasive in promoting AI/ML across the company. You’ll represent Verizon on AI/ML and interact with leading researchers and industry leaders. You will also be part of the driving force for attracting top talent.
Lead large portfolios of data science projects and deliver innovative technical solutions to solve problems and improve business outcomes.
Lead the design, development, and deployment of AI solutions that drive business growth and better customer experience.
Contribute to the development of AI/ML strategy and roadmap for the company.
Contribute to research and development of AI/ML techniques and technology that fuels the business innovation and growth of Verizon.
Represent Verizon in AI/ML research and the industry through publications, conference speeches, collaboration with leading researchers and universities.
Build strong influence both among AI/ML community and with senior business leaders and actively promote the effective applications of AI/ML technology.
Lead engagement with key business stakeholders in discussion on business strategies and opportunities.
Build strong working relationship and develop deep partnership with the business.
Work closely with engineers to deploy models in production both in real time and in batch process and systematically track model performance.
Be a subject matter expert on machine learning and predictive modeling and a mentor to junior data scientists.
What we’re looking for...
You are an accomplished data scientist, a recognized machine learning expert, and a thought leader in AI technology and business innovation. You are a master at analyzing big data. You thrive in an environment where enormous volumes of data are generated at rapid speed. You’re a creative thinker who likes to explore, and uncover the issues. You are decisive. You are great at influencing up, down, and across groups, and you take satisfaction in mentoring others. Communicating what you’ve uncovered in a way that can be easily understood by others is one of your strengths.
You’ll need to have:
Bachelor’s degree or four or more years of work experience.
Six or more years of relevant work experience.
Even better if you have:
Master’s degree in a quantitative field or in a related filed.
Ph.D. in Statistics, Math, Economics, Engineering, Computer Science, Business Analytics, Data Science.
Eight or more years of experience in practicing machine learning and data science in business.
Accomplished researcher and expert in machine learning, neural networks, reinforcement learning, chatbot technology, and NLP
Strong communication and interpersonal influencing skills.
Excellent problem solving and critical thinking capabilities.
Experience in leading large scale data science projects and delivering from end to end.
Strong computing/programming skills; Proficient in Python, Spark, SQL, Linux shell script.
Strong experiencein Big Data and Cloud technology.
Willingness to travel.
When you join Verizon...
You’ll be doing work that matters alongside other talented people, transforming the way people, businesses and things connect with each other. Beyond powering America’s fastest and most reliable network, we’re leading the way in broadband, cloud and security solutions, Internet of Things and innovating in areas such as, video entertainment. Of course, we will offer you great pay and benefits, but we’re about more than that. Verizon is a place where you can craft your own path to greatness. Whether you think in code, words, pictures or numbers, find your future at Verizon.
Equal Employment Opportunity
We're proud to be an equal opportunity employer- and celebrate our employees' differences,including race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, and Veteran status. Different makes us better. 
 ",https://www.indeed.com/rc/clk?jk=b787749d464802dd&fccid=f7029f63fe5c906e&vjs=3,Data Scientist
BCD Travel Corporate,"Atlanta, GA",Data Scientist ,5,," 
 Job Description:
In this role you're key in establishing us as leaders in providing intelligence to our clients and internal stakeholders.

You provide relevant and sound analytics, working in a commercial shared services team approach with Marketing,

Global Sales, Client Data Solutions, Advito, Supplier Relations and other functions. The focus areas for this role are providing data driven intelligence, contributing to the development of new products through research, and taking a leading role in discovering trends.

Responsibilities:

Conduct data analysis and create reports, outlining findings, challenges and next steps.
Contribute to a statistics library so the group has easy access when they need it.
Look to qualitative data available to find explanations for unusual data patterns.
Find out what customers are asking about trends and hypes as identified by the research team.
Provide insights to support answering questions raised, thereby promoting thought leadership.
Actively participate in your development, discussing your career plans with your line manager and work towards your goals.
Talk to your line manager and provide open feedback about your projects.
Integrate into the team, participate actively and support your colleagues.
Make sure to engage with your peers in the company and reach out to your colleagues on the team.
Keep your eyes and ears open: talk to colleagues and read up on news and legislations that might impact business travel.
Qualifications:
Bachelor degree or equivalent work experience
&gt;3 years relevant work experience
Excellent communication and interpersonal skills. You'll interact with a variety of partners and will need a high level of comfort in communicating with professionals of different backgrounds
Ability to motivate yourself and be able to get up to speed quickly - functioning independently in a supportive team
Excellent time-management and project-management skills: you'll be constantly challenged to balance multiple initiatives, projects and perspectives
Competency with Microsoft Office Products, and collaborative software used for projects with remote team members and stakeholders
Capable of working in a virtual and multinational team environment
Experience in business travel or travel management is a plus preferred",https://www.indeed.com/rc/clk?jk=481eb0c260890d8a&fccid=6781744e41089d9b&vjs=3,Data Scientist
The Home Depot,"Atlanta, GA","Data Scientist, Online ",30+,," 
 POSITION PURPOSE<br/>
The Data Scientist will develop the analytical infrastructure and computational capabilities that drive decision making and impact the bottom line performance of homedepot.com. By partnering with business leaders and leveraging company and industry data, this role will develop predictive systems and algorithms for identifying trends and driving business solutions. This position's primary focus is to manipulate large datasets to extract meaningful business information using statistics and machine learning techniques.<br/>
<br/>
MAJOR TASKS, RESPONSIBILITES AND KEY ACCOUNTABILITIES<br/>
50%-Design and develop algorithms and models to use against large datasets to create business insights<br/>
20%-Establish scalable, efficient processes for large scale data analyses, model development and model implementation<br/>
20%-Present analysis and resulting recommendations to senior management; Leverage data to present a compelling business case to optimize investments and operations<br/>
10%-Communicate and educate technical and non-technical employees on analytics and data-driven decision making<br/>
<br/>
NATURE AND SCOPE<br/>
This position reports to Head of Data Science or Sr. Data Scientist<br/>
This position has no Direct Reports<br/>
<br/>
ENVIRONMENTAL JOB REQUIREMENTS<br/>
Environment:<br/>
Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.<br/>
Travel:<br/>
Typically requires overnight travel less than 10% of the time.
MINIMUM QUALIFICATIONS<br/>
Must be eighteen years of age or older.<br/>
Must be legally permitted to work in the United States.<br/>
<br/>
Additional Minimum Qualifications:<br/>
<br/>
Education Required:<br/>
The knowledge, skills and abilities typically acquired through the completion of a master's degree program or equivalent degree in a field of study related to the job.<br/>
<br/>
Years of Relevant Work Experience: 0 years<br/>
<br/>
Physical Requirements:<br/>
Most of the time is spent sitting in a comfortable position and there is frequent opportunity to move about. On rare occasions there may be a need to move or lift light articles.<br/>
<br/>
Additional Qualifications:<br/>
- Master's in Computer Science, Math or related quantitative field (or BS/BA in Computer Science, Math or related quantitative field and 5 years of data mining experience).<br/>
- Work experience with Hadoop, SAS, HBASE, Cassandra or other similar development platforms.<br/>
- Expert knowledge in large scale information retrieval and statistical analysis.<br/>
<br/>
Preferred Qualifications:<br/>
- 3 years of experience in data mining and statistical analysis<br/>
- Previous work experience in ecommerce<br/>
- Experience with large-scale data analysis and a demonstrated ability to identify key<br/>
- Insights from data to solve business problems<br/>
<br/>
Knowledge, Skills, Abilities and Competencies:- Ability to build scalable systems that analyze huge data sets and make actionable recommendations<br/>
- Strong communication and data presentation skills<br/>
- Ability to quickly adapt to new technologies, tools and techniques<br/>
- Flexible and responsive; able to perform in a fast paced, dynamic work environment and meet aggressive deadlines<br/>
- Ability to work with technical and non-technical team members",https://www.indeed.com/rc/clk?jk=d9fc8a48dc176465&fccid=82e58e9861d48566&vjs=3,Data Scientist
Bank of America,"Atlanta, GA 30308",Quantitative Finance Analyst ,30+,," 
 Job Description:
Bank of America's Global Risk Analytics Economic Scenario Generation Team (GRA-SGT) is seeking a Quantitative Financial Analyst. Bank of America conducts economic scenario management and forecasting on a periodic basis to better understand balance sheet, earnings and capital sensitivities to certain economic and business developments, including conditions that are more severe than anticipated. This is integral to the Bank's capital, financial and strategic planning processes. A key driver of the economic scenario management process is the GRA-SGT macroeconomic model system. This system is robust and repeatable and supports the company-wide analytical process by providing an appropriately wide range of macroeconomic variable projections, grounded in historical data relationships and economics theories. A team of quantitative experts and internal economists are responsible for developing the scenarios, which are then subject to review and assessment by senior management within the Company.<br/>
As part of the GRA-SGT, the candidate will be responsible for econometric model development, production, implementation, backtesting, reporting and documentation. The current model coverage includes U.S. national macro-economic models, U.S. regional macro-economic models, International models, FX models, interest rates and other financial market variable models. Our work is fast-paced and intellectually challenging, and we interact daily with economists, and senior bank management to improve our models and adapt to changing business needs.<br/>

Shift:
1st shift (United States of America)
Hours Per Week:
40",https://www.indeed.com/rc/clk?jk=ebdc2a512ba5ae30&fccid=5bd99dfa21c8a490&vjs=3,Data Scientist
UNITED PARCEL SERVICE,"Alpharetta, GA",Data Scientist ,30+,," 
 Data Scientist

We’re the obstacle overcomers, the problem get-arounders. From figuring it out to getting it done… our innovative culture demands “yes and how!” We are UPS. We are the United Problem Solvers.

About Information Management at UPS Technology:

Our Information Management teams are responsible for designing and supporting data solutions to meet UPS’s rapidly changing business needs. Our team is comprised of individuals who are experts in data management, compliance and governance. We ensure quality, completeness, availability, protection, understanding and effective use of our data assets. Our ability to organize and design data provides the foundation which enables many of UPS’ core processes.

About this role:

The Data Scientist will leverage advanced analytics to solve some of the most interesting business problems across the UPS enterprise. As a key member of a growing global team, he/she will operate in a fast-paced environment and take on multiple roles. He/she will have access to large volumes of structured and unstructured data as well as the ability to allocate vast computing resources, including GPU’s, to speed up work. The candidate will employ tools and applications that can fast-track manual steps such as ETL, data exploration, etc. He/she will have the opportunity to research and experiment with innovative new techniques in machine learning, statistics, and operations research. The candidate will have the freedom to attend conferences and training sessions, and collaborate with partner universities, to further skillset. The selected candidate will primarily serve in an individual contributor role with a focus on hands-on technical work. However, he/she may be asked to take on non-technical assignments such as business requirements gathering.

Responsibilities:

Provides expertise on computational, quantitative, and algorithmic techniques applicable to data science
Performs data wrangling, ETL, and data exploration tasks
Builds predictive and prescriptive models, algorithms, and simulations
Collaborates with cross-functional teams of data scientists, data engineers, application developers, etc. to deliver measurable outcomes
Identifies and champion new initiatives aimed at delivering value to business stakeholders
Manages multiple work streams while proactively responding to competing demands
Evaluates open-source and vendor-based tools, such as applications, platforms, frameworks and programming languages
Minimum Qualifications:

Master's degree in statistics, operations research, computer science, physics or related discipline
2+ years of industry experience in a technical role, preferably in a data science capacity
Intermediate knowledge of R or Python
Some knowledge of the following: Generalized Linear and Non-Linear Models, Time Series Analysis, Random Forest, Gradient Boosted Machines, Neural Networks, Unsupervised Methods (Dimensionality Reduction, Clustering, etc.)
Experience querying relational data systems for ETL and data integration tasks
Good communications skills with ability to present to technical and business audiences
Experience using Spark/Hadoop systems for distributed analytics and data processing
Preferred Qualifications:

PHD degree
Knowledge of any of the following: Natural Language Processing &amp; Text Mining, Experimental Design, Computer Vision &amp; Image Processing, Bayesian Networks, Reinforcement Learning, Collaborative Filtering, Network/Graph Mining, Combinatorial Optimization, Linear &amp; Mixed-Integer Programming, Discrete-Event &amp; Stochastic Simulation
Knowledge of: H2O.ai, TensorFlow, SAS
Familiarity with scaling and operationalizing data science models in production settings
Experience working in a cloud-computing environment such as AWS, Azure, GCP, etc
Prior exposure to the transportation or logistics industry
This position offers an exceptional opportunity to work for a Fortune 50 industry leader. If you are selected, you will join our dynamic technology team in making a difference to our business and customers. Do you think you have what it takes? Prove it! At UPS, ambition knows no time zone.<br/>
UPS is an equal opportunity employer. UPS does not discriminate on the basis of race/color/religion/sex/national origin/veteran/disability/age/sexual orientation/gender identity or any other characteristic protected by law",https://www.indeed.com/rc/clk?jk=ad892063972f54f0&fccid=fcf465e707df52fb&vjs=3,Data Scientist
"Carters, Inc","Atlanta, GA 30326",Data Scientist ,30+,," 
 Job Description:<br/>
Carter's, Inc. is the largest branded marketer in North America of apparel exclusively for babies and young children. The Company owns the Carter's and OshKosh B'gosh brands, two of the most recognized brands in the marketplace. These brands are sold in leading department stores, national chains, and specialty retailers domestically and internationally. They are also sold through more than 1,000 Company-operated stores in the United States, Canada, and Mexico and online at www.carters.com, www.oshkoshbgosh.com, and www.cartersoshkosh.ca. The Company's Just One You and Genuine Kids brands are available at Target, its Child of Mine brand is available at Walmart, and its Simple Joys brand is available on Amazon. The Company also owns Skip Hop, a global lifestyle brand for families with young children. Carter's is headquartered in Atlanta, Georgia. Additional information may be found at www.carters.com.
Provide reporting and analysis to support business partners across multiple brands and channels. Includes customer dashboard reporting; marketing, loyalty, and direct marketing reporting &amp; analysis; and ad-hoc Direct to Consumer business requests.
50% - Business analytics
Provide insights through data analysis and reporting that aids decision making: gather requirements, create and analyze reports, and translate into actionable recommendations and strategies
Support analysis of marketing campaigns through customer segmentation and profiling, design of experiment, and data mining
Generate and analyze reports designed to optimize marketing spend
Analyze and report on test and learn experiments across marketing channels (A/B, direct mail, digital, email testing)
Develop strategies to measure consumer response across channels and brands and quantify the overall impact of multi-channel initiatives
Spot potential to implement innovative new methodologies and improve reporting process
Enhance existing reporting tools on an on-going basis to accommodate evolving business needs.
Monitor and analyze key metrics; use available data sources to deep dive and troubleshoot KPI metrics
Define and create lifetime value of customers and segments
Work closely with team members to provide accurate forecast projections/goals across marketing channels
30% - Predictive model development
Design and develop algorithms and models to use against large datasets to create business insights
Key contributor in all predictive analytics and data modeling efforts
Develop and maintain predictive models to be used in marketing campaigns
20% - Presenting findings to key stakeholders
Present analysis and resulting recommendations to senior management; Leverage data to present a compelling business case to optimize investments and operations<br/>
Required Experience:<br/>
Strong quantitative skills coupled with business foundation, especially in Marketing Measurement, Loyalty, and eCommerce.
Efficiently use large databases and external data sources
Expert knowledge in large scale information retrieval and statistical analysis
Working knowledge of relational databases and systems processing
Strong financial analysis skills, including P&amp;L and ROI analysis
Present data in an actionable and useful way to allow business owners to make decisions
Able to manage multiple analysis and requests at once. Able to flex to handle Ad-hoc, quick turn report requests.
Self-motivated and able to operate independently, as well as work effectively with others.
Has natural curiosity about the business and customer
Experience with testing methodologies
SQL experience
Advanced Excel &amp; PowerPoint Skills
Undergrad in STEM (Science, Technology, Engineering or Mathematics), Advanced degree preferred
5-10 Years of experience with reporting and database query tools
5-10 Years of experience developing and presenting business conclusions based on data analysis
Retail experience strongly preferred
Carters is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity, sexual orientation, national origin, genetics, disability, age, veteran status, or any other status protected by federal, state, or local law.<br/>
Visit http://carters.submit4jobs.com/ today
Carters is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity, sexual orientation, national origin, genetics, disability, age, veteran status, or any other status protected by federal, state, or local law.<br/>
Visit https://carters.submit4jobs.com/ today",https://www.indeed.com/rc/clk?jk=bc3fae38acfeb353&fccid=a9addf8bbe542dfe&vjs=3,Data Scientist
The Home Depot,"Atlanta, GA","Associate Data Scientist, Online ",30+,," 
 Position Purpose:
At HomeDepot.com, our award-winning e-Commerce team is blazing a trail of retail shopping innovation by leveraging cutting-edge technology with our 2,200+ store locations and a relentless focus on customer service. We have been named one of the world's most innovative companies and we are on a mission to provide the best interconnected shopping experience to our consumers. To do so, we need more dreamers, innovators and big thinkers passionate about re-imagining the future of retail. Interested in making history with us? If so, apply today to experience what it’s like to be a part of our HomeDepot.com team. Who knows? Your next big idea may just change the future of retail!<br/>
<br/>
The candidate will be generating ideas for exploratory analysis to shape future projects and provide recommendations for actions, leading the development of models and techniques to deliver personalized experiences for our customers, leveraging data to perform intensive analysis across all areas of our business to drive product development. This role will ensure that the analysis results drives next iteration of changes to product functionality on desktop, mobile web and mobile app platforms. He or She will be working with cross-functional teams and present findings to senior management to drive business decisions.
Major Tasks, Responsibilities and Key Accountabilities:
50% - Establish scalable, efficient processes for large scale data analyses, model development and model implementation
30% - Design and develop algorithms and models to use against large datasets to create business insights
20%-Present analysis and resulting recommendations to senior management; Leverage data to present a compelling business case to optimize investments and operations
NATURE AND SCOPE
This position reports to Sr Manager, Data Science Online
This position has no Direct Reports
Environment:
Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.
Travel:
Typically requires overnight travel less than 10% of the time.
Minimum Qualifications:<br/>

<br/>
Must be eighteen years of age or older.<br/>
Must be legally permitted to work in the United States.
Education Required:
The knowledge, skills and abilities typically acquired through the completion of a bachelor's degree program or equivalent degree in a field of study related to the job.
Years of Relevant Work Experience: 2 years
Physical Requirements:
Most of the time is spent sitting in a comfortable position and there is frequent opportunity to move about. On rare occasions there may be a need to move or lift light articles.
Additional Qualifications:
B.S. in Computer Science, Math, Engineering, Finance, or related quantitative field.
Preferred Qualifications:2 years of experience in data mining and statistical analysisPrevious work experience in ecommerceExperience with large-scale data analysis and a demonstrated ability to identify key insights from data to solve business problems
Knowledge, Skills, Abilities and Competencies:Ability to build scalable systems that analyze huge data sets and make actionable recommendationsStrong communication and data presentation skillsAbility to quickly adapt to new technologies, tools and techniquesFlexible and responsive; able to perform in a fast paced, dynamic work environment and meet aggressive deadlinesAbility to work with technical and non-technical team members",https://www.indeed.com/rc/clk?jk=4c60165195386c90&fccid=82e58e9861d48566&vjs=3,Data Scientist
Experience LLC,"Atlanta, GA 30318",Data Scientist ,4,," 
 When your team hits a game winner or the band plays your favorite song, there is nothing like experiencing the moment live and in-person. At ""Experience"", expapp.com, our mission is to connect people to those unforgettable live experiences with mobile technology and move people from the couch to the crowd. Whether it's securing tickets, upgrading to a fantastic seat, or participating in a once in a lifetime experience, sports and entertainment companies and fans alike realize that these opportunities should no longer be wasted.
 
 <br/> 
 <br/> 
 
We are looking for an experienced Data Scientist to join our rapidly growing team! Candidates must have a passion for all things data and be ready to create next-generation data science to power a company reshaping an industry. This role offers the unique opportunity to disrupt the 20-billion dollar ticketing industry with innovative technology and be part of a fast-paced, collaborative team.
 
 <br/> 
 <br/> 
 
 
 In this exciting role, you will: 
 <br/> 
 
 
 
Create predictive models to power innovative ticketing products
Acquire and explore data from creative sources to power data science initiatives
Create data pipelines and applications in Amazon Web Services environments
Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies
Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes
Coordinate with different functional teams to implement models and monitor outcomes
Develop processes and tools to monitor and analyze model performance and data accuracy
Interact with project stakeholders to provide data science solutions addressing business requirements
 
 
 
 Must Have: 
 <br/> 
 
 
 
Bachelor's degree
3-7 years of data science and analytics experience
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Experience creating and deploying data science solutions in a cloud environment (AWS preferred)
Experience using statistical computer languages (Python, SQL, Scala) to manipulate data and draw insights from large data sets
Experience working with and creating data architectures
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks
Experience visualizing/presenting data for stakeholders using: Tableau, Excel, etc.
Strong problem solving skills with an emphasis on product development
Excellent written and verbal communication skills for coordinating across teams
A drive to learn and master new technologies and techniques
 
 
 
 Nice to Have: 
 <br/> 
 
 
 
Advanced degree in math, statistics computer science, economics or another data-related field
Coding knowledge and experience with several languages: Grails, Java, JavaScript, Python
Experience with multiple AWS products: Lambda, Sagemaker, Athena, EC2, EMR, Redshift, Glue, S3
Experience managing digital data across web pages and mobile applications
Tableau experience
Experience in digital analytics tools: Google Analytics, Adobe Analytics, MixPanel, etc.
 
 
WORK PERKS
 
 <br/> 
 <br/> 
 
 
 
Work with a proven and incredibly talented team
Medical / Dental / Vision coverage and 401K match
INWEGO membership for you and a plus one
In-office massage therapists
Work on a new MacBook Pro Retina Laptop
Open, fun and comfortable workspace (no cubes!)
We have a coffee bar that keeps us going with beverages and healthy snacks
75″ Television in work area for work demos &amp; maybe for watching Football too
Break-out rooms for small meetings, privacy, quiet space
We have a robot and he pushes code, makes jokes, and runs our automated tests!
Ping-pong table, XBOX, and Nintendo 64 (bring your A game!)
Be the DJ with Sonos throughout the office
Pennant of your university hung with pride in the office
 
 
Equal Employment Opportunity (EEO)
 
 <br/> 
 <br/> 
 
We're an equal opportunity employer and comply with all applicable federal, state, and local fair employment practices laws. We strictly prohibit and do not tolerate discrimination against employees, applicants, or any other covered persons because of race, color, religion, creed, national origin or ancestry, ethnicity, sex, gender (including gender nonconformity and status as a transgender or transsexual individual), sexual orientation, marital status, age, physical or mental disability, citizenship, past, current or prospective service in the uniformed services, predisposing genetic characteristic, domestic violence victim status, arrest records, or any other characteristic protected under applicable federal, state or local law.",https://www.indeed.com/rc/clk?jk=84d7cd089bf962df&fccid=1c5d4fe9c26a3c24&vjs=3,Data Scientist
Purchasing Power,"Atlanta, GA 30309",Data Scientist ,30+,," 
 Data Scientist<br/>
Location<br/>
<br/>
<br/>
Atlanta
<br/>
Department<br/>
<br/>
<br/>
Financial Planning and Analysis
<br/>
Employment duration<br/>
<br/>
<br/>
Full time

<br/>
Apply Now<br/>
Purchasing Power, Midtown Atlanta, GA
<br/>
<br/>
Data Scientist
<br/>
<br/>
Purchasing Power is seeking a data scientist that will help us discover the information hidden in vast amounts/multiple locations of data, and help us make smarter and faster decisions to deliver better results. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems that identify areas to drive incremental revenue and predict long term performance and customer activity.
<br/>
<br/>
What you’ll do.
<br/>
<br/>
The Data Scientist supports client data integration across the company’s global enterprise. Manages the retrieval, transformation, delivery, and exchange of data between both internal and external business systems across all business units and client base. Provides daily operational production support. Requires a strong understanding of discipline. Able to apply knowledge and experience to complex problems and develop recommendations. Makes decisions within broad parameters. Acts as an informal resource for others with less experience. Works with team members to provide operational support, documentation, and knowledge sharing of best practices.
<br/>
<br/>
Responsibilities
Provides data driven input, with insight and forward-thinking recommendations to business leaders.
Interpret, evaluate and interrelate company and research data and develop integrated business analyses and projections for incorporation into strategic decision making
Consistently provide proactive and prescriptive analytics
Monitor daily/weekly/monthly metrics and alert business leaders to issues and trends
Conduct insightful, ad hoc analyses to investigate ongoing or one-time operational issues
Analyze business activities and present results and recommendations to enhance operational strategies both for awareness, effectiveness and overall financial benefit.
Review business processes via analysis and involvement to develop optimization strategies the focus on value-add work.
Develop predictive models of customer value, behavior, and responsiveness based on various business activities related to Fraud, Fed Gov, Account Management, Account Recovery, Sales, HR, and Underwriting
Recognizes and communicates financial implications of business decisions and strategy.
Provides support related to data needs stored within databases, including Domo reports.
Maintains relationship with IT and Finance teams to assure data accuracy and integrity.
Conduct and coordinate financial, product, market, operational and related research to support strategic and business planning within the departments you support
Creates process procedures, standards, and flows for current and future state initiatives/analysis.
Completes special projects as assigned for various departments such as Fed Gov, Account Management, Account Recovery, Sales, HR, and Underwriting
Ensure all deliverables adhere to department quality and delivery standards.
Maintaining and staying up to date on the latest analytical tools and trends.
Lead meetings and develop presentations to easily explain analysis and drive actionable results.
Actively participate and partner in operational department financial related meetings.
Incorporate proven modeling that provides future predictions on business operations and financial status.
Preferred Competencies
Selecting features, building and optimizing classifiers using machine learning techniques
Data mining using state-of-the-art methods
Enhancing data collection procedures to include information that is relevant for building analytic systems
Processing, cleansing, and verifying the integrity of data used for analysis
Doing ad-hoc analysis and presenting results in a clear concise manner
Creating automated anomaly detection systems and constant tracking of its performance
Developing a robust forecasting model that will predict revenue over a 18 month period based customer behavior, historical activity, and known future improvements/changes
Assisting with the development and implementation of an EDM process
Assist with training and coaching team members on advancing their predictive analytics skills
QUALIFICATIONS:
Bachelor’s Degree (preferably in Business, Analytics, Mathematics, or relevant field)
Master’s Degree in Data Analytics/Data Science preferred
Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.
Experience with common data science toolkits, such as R, Python, MatLab, etc. Excellence in at least one of these is highly desirable.
Extensive experience with SAS. (Current tool primarily used)
Great communication skills and the ability to communicate complex concepts in simple terms
Experience with data visualization tools, and the ability to visualize data in an executive consumption format
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Data-oriented personality
Why Purchasing Power?
<br/>
<br/>
We are the leading specialty e-retailer offering consumer products, vacations and online education services through an easy and convenient payment plan. Our customers love us because we make paying for their purchases stress- and hassle-free. The automatic payments help them to avoid penalty fees and ballooning interest associated with other payment options. While the fixed payment duration options empower them to budget more efficiently. Ours is a revolutionary e-commerce experience that gives customers access to a better life combined with a responsible way to buy.
<br/>
<br/>
Purchasing Power is ‘Powering People to a Better Life™’ through its employee purchase program, financial literacy efforts and charitable contributions.
<br/>
<br/>
For more information, visit www.PurchasingPower.com
Our people! We are very proud of our people, we “Power People to a better life”
100% company paid benefits for employees
Kitchen stocked with gourmet coffee, teas and free snacks
Casual work environment
Summer Hours
Flexible PTO
Top of the line hardware
Purchasing Power is an equal opportunity employer. At Purchasing Power, we make all employment decisions, which include hiring, promoting, transferring, demoting, evaluating, compensating and separating, without regard to sex, sexual orientation, gender identity, race, color, religion, age, national origin, pregnancy, citizenship, disability, service in the uniform services, or any other classification protected by federal, state or local law.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AbcLYJH6EEU2hhfUhIe4V-wtZUPXOEfJh72XLwlGjJwXW5GoFa_FpErGKusKnqNnCQb05EM5cdTSsCobd1zCltFLwvAi9XUox73UArsGqLW63SCjqy_WmsYuSzLgyGuRmoHwTl3k_dY3ingLhUDwp7IkIPB_q3p6AXD_lhWS21zk43AbwAn48gFJNUbdyxBT83RTDZUfACyYjSImeGbyMNJj89kqHWthWnDOYpMWujAFBN8FmX3fECgKuo_0wYJyfA9L316qAv7sm2z3X578vJXQuRI7AAawg04klyx56HwJjjIJGojoqAoiIaaMco72nyyZ3UTNyssOreVg1HakBonBrjvIbwqLIcK2NlPqKF-gtVq_AWx1kGq81KyOVsCL4PgnDozKpFYAFC3CJ_rlyVtoF7ChBmGBs=&p=14&fvj=0&vjs=3,Data Scientist
