company,location,title,post_date,description,url,full_desc,seniority_level,employment_type,job_function,industries
JPI,Washington D.C. Metro Area,Business Intelligence Analyst,2019-07-31,"JPI is seeking a Business Intelligence Analyst (BIA) with a minimum four (4) years’ experience working to develop, implement and ...",https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-jpi-1393426403?position=11&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"JPIWashington D.C. Metro Area 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
JPI is seeking a Business Intelligence Analyst (BIA) with a minimum four (4) years’ experience working to develop, implement and maintain business intelligence solutions using the Microsoft technology stack. This position will design and develop ETL (Extract, Transform, Load) routines, perform data profiling and data cleansing and create BI dashboards and reports. They will work within development following an Agile development methodology.  THE CANDIDATE MUST BE ABLE TO OBTAIN A SECRET LEVEL CLEARANCE (U.S. CITIZENSHIP REQUIRED).    
  
Responsibilities Include:  
 Requirements Include:  
  
",Associate,Full-time,"Consulting, Management, Project Management",Management Consulting
Chateaux,Greater New York City Area,Business Intelligence Analyst,2019-08-05,"      Advanced Excel and Querying skills; substantial experience with data analysis and modeling, process improvement.       ...",https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-chateaux-1406090653?position=12&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"ChateauxGreater New York City Area 
Business Intelligence Analyst  
  
  
*Must have Fundraising experience*  
  
   
Position Summary   
  
This position is part of the Information Technology (IT) team which provides information technology solutions that enable direct data-driven decision making by the Development Organization. You will be responsible for management and development of business intelligence and analytics solutions, including internal workflows for the Development Organization. This is a new position reports directly to the Senior Director of Enterprise Applications and Administrative Support.  
   
Responsibilities   
   
·         Partner with Alumni Affairs and Development:  
o    Create and manage financial, statistical, forecast and ad-hoc reports and data models on a regular basis  
o    Deliver timely and targeted information, robust tools and insights to help the department become a more data-driven organization  
o    Rapid analysis of Development Organization data challenges to help build solutions that can be leveraged across the Development team  
o    Use advanced statistical concepts to determine significant sources of process or business function variability; determine recommendations for efficiencies  
o    Coordinate between departments and develop cross-departmental reports  
   
·         Designing and implementing data integration from multiple systems resulting in advanced analytic capabilities:  
o    Writing relational and multidimensional database SQL queries  
o    Developing automated tools and dashboards using Business Objects, Tableau or other development tools to provide actionable information to decision makers.  
o    Develop data marts to enable user empowerment via tools such as Business Objects, Crystal Reports or Tableau.  
o    Provide institutional data research and analytics  
   
·         Investigate and troubleshoot data workflow issues for departments on our enterprise systems (Colleague/Slate/Advance)  
·         Provide end-user support for CRM and reporting software  
o    Develop, manage and maintain workflows in CRM platforms  
·         Create best practice documentation and procedures  
·         Provide technical support during upcoming migrations  
·         Projects as assigned  
   
Qualifications  
   
·         3-5 years of experience in business analytics, consulting, data science, business intelligence, data quality and/or data engineering  
·         Fundraising experience  
·         This role requires someone who can shift focus quickly and keep projects within scope. The successful candidate will be comfortable working in a dynamic, data-driven environment and demonstrate a natural curiosity when digging into the numbers.  
·         Ability to work with all levels of the organization up-to and including Executive Leaders.  
·         Degree in business, statistics, database management or related field preferred  
·         Crystal reports, Tableau, Advanced Power BI, Microsoft SQL Reporting Services (SSRS) and data warehousing skills preferred  
·         Advanced Excel and Querying skills; substantial experience with data analysis and modeling, process improvement  
·         Ability to identify trends and clearly distill and present complex data to colleagues who may not have a technical background  
·         Strong analytical and technical expertise in developing business intelligence solutions/tools/reports.  
·         Excellent conceptual, analytical and quantitative skills.  
·         Ability to translate business needs into reporting solutions.  
·         Sense of urgency to drive impact.  
·         Ability to quickly establish subject matter expertise in a variety of business applications.  
·         Excellent verbal, analytical and problem-solving skills  
·         Critical, creative thinker, with the ability to provide data-driven insights and recommendations and see ideas through to completion  
·         Excellent communication skills both orally and verbally.  
·         Unflappable and steady personality who can stay calm under pressure.  
·         Personable and easily builds business relationships/partnerships.  
·         Excellent organizational and prioritization skills  
·         Ability to set goals, establish timelines, and ensure that key milestones and deliverables are met  
·         Ability to quickly relate data to processes within disparate departments such as Alumni Affairs, Fund Raising, Finance and Admissions    
·         Prior experience with fundraising databases and in particular CRM: Advance or Blackbaud CRM, a plus 
",Mid-Senior level,Full-time,"Education, Information Technology, Analyst","Information Technology and Services, Higher Education, Fund-Raising"
Nexstar Digital,Greater Los Angeles Area,Vice President Business Intelligence,2019-07-29,"The ideal candidate will be a highly motivated, passionate leader from a data-driven environment that operates equally as effectively in ...",https://www.linkedin.com/jobs/view/vice-president-business-intelligence-at-nexstar-digital-1402371189?position=13&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Nexstar DigitalGreater Los Angeles Area 
About Us  
Nexstar's digital media products and services focus on providing innovative solutions to audiences, clients and any business looking to gain an edge in the shifting digital landscape. Along with Nexstar's dedication to providing local news, entertainment, and sports content through its digital platforms, Nexstar Digital's companies provide digital publishing and content management platforms, a video advertising platform, digital agency services and other digital media solutions to publishers and advertisers.  
Position Description  
The Vice President of Business Intelligence (the “VP”) will be a senior member of the management team responsible for creating customer and business value from the Company’s unique data assets. Reporting to the Senior Vice President of Nexstar Digital, the VP will work closely with other senior stakeholders including Product, Revenue and Operations, Content, Engineering, and Business Development. The ideal candidate will be a highly motivated, passionate leader from a data-driven environment that operates equally as effectively in both independent and team collaboration settings. He/she should have strong business acumen, solid technology experience, and familiarity with the broadcast industry in addition to possessing excellent data science skills.  
  
The VP will be responsible for the creation and execution of an innovative, enterprise-wide BI vision and strategy to establish the capabilities necessary to generate meaningful, actionable insights into user, subscriber and advertiser behavior across our entire network. He/She will be responsible for collecting, managing, and analyzing consumer, product, social, market, competitive, and ad data to lead high impact projects that move our business into the future. It is also a unique opportunity to build a new team and a new set of capabilities for a large broadcast company.  
  
Responsibilities  
  
Minimum Qualifications  
",Executive,Full-time,"Advertising, Marketing",Marketing and Advertising
Brooksource,"Greater Grand Rapids, Michigan Area",Business Intelligence Analyst,2019-08-01,      Strong Analysis skills including 3+ years’ experience as an Analyst. Do you have a passion for working in healthcare and ...,https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-brooksource-1394673600?position=14&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"BrooksourceGreater Grand Rapids, Michigan Area 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Business Intelligence Analyst  
Grand Rapids, Michigan  
Full-Time Position  
   
Do you have a passion for working in healthcare and looking for a new challenge? Then this is the perfect position for you! As a Business Intelligence Analyst you will be responsible for designing, building, and supporting business intelligence and analytical initiatives to enhance departmental and organizational effectiveness, efficiency, and safety with a primary focus on Quality Metrics and Inpatient reporting.  
  
If you feel that this describes you keep reading and apply!  
  
MINIMUM QUALIFICATIONS:  
·         3+ years’ experience working with Microsoft SQL Server  
o    SQL functions Includes: Building out databases, report writing, writing complex queries, analyzing large queries, etc.  
·         Strong Analysis skills including 3+ years’ experience as an Analyst  
o    Past positions may include Business Analyst, Data Analyst, BI Analyst, etc.  
·         Experience working in a reporting environment, and working with SSIS (SQL Server Integration Services)  
o     Includes SSIS package development and support.  
·         Other tools such as Crystal Reports, Tableau, Power BI and others are bonus, but willing to teach individuals.  
·         Must have experience working with internal technical teams and customers or other third-party vendors.  
·         Preferred: Experience working in a healthcare environment, specifically with EPIC.  
   
RESPONSIBILITIES:  
   
·         Work heavily with SQL database. SQL functions Includes: Building out databases, report writing, writing complex queries, analyzing large queries, etc.  
·         Designs database objects, queries and solutions to support business needs.  
·          Implements and maintains data marts, data warehouses and ETL processes.  
·         Creates test scripts to identify and address data inconsistencies. Performs quality audits of processes in order to verify data integrity.  
·         Interface with internal technical and business teams, as well as customer.  
   
WHAT’S IN IT FOR YOU…?  
 
",Mid-Senior level,Full-time,"Information Technology, Management",Information Technology and Services
BlueVine,"Redwood City, CA, US",Head of Business Intelligence Analytics,2019-07-06,What We Look For. Expert level SQL with reporting table data modeling experience. This is an instrumental hire to ensure alignment on ...,https://www.linkedin.com/jobs/view/head-of-business-intelligence-analytics-at-bluevine-1405378060?position=15&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"BlueVineRedwood City, CA, US 
",Director,Full-time,"Business Development, Sales","Computer Software, Internet, Financial Services"
Pluto TV,"West Hollywood, CA, US","Technical Program Manager, Business Intelligence (BI)",2019-07-16,We believe the right individual will have the following skills and experience in order to be successful in this role: Qualities / ...,https://www.linkedin.com/jobs/view/technical-program-manager-business-intelligence-bi-at-pluto-tv-1374877803?position=16&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Pluto TVWest Hollywood, CA, US 
",Mid-Senior level,Full-time,"Project Management, Information Technology","Online Media, Computer Software, Internet"
The Salvation Army,"Hoffman Estates, IL, US",Business Intelligence and Strategic Planning Manager,2019-07-23,The Salvation Army has an Business Intelligence and Strategic Planning Manager position available for the ideal candidate. Looking for a ...,https://www.linkedin.com/jobs/view/business-intelligence-and-strategic-planning-manager-at-the-salvation-army-1389803993?position=17&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"The Salvation ArmyHoffman Estates, IL, US 
",Associate,Full-time,"Business Development, Sales","Construction, Nonprofit Organization Management, Hospital & Health Care"
"Nexstar Media Group, Inc.","New York City, NY, US","Vice President, Business Intelligence",2019-07-20,"The ideal candidate will be a highly motivated, passionate leader from a data-driven environment that operates equally as effectively in ...",https://www.linkedin.com/jobs/view/vice-president-business-intelligence-at-nexstar-media-group-inc-1389950795?position=18&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Nexstar Media Group, Inc.New York City, NY, US 
",Executive,Full-time,"Business Development, Sales",Broadcast Media
Crisis Text Line,"New York City, NY, US","Business Intelligence Data Scientist, Community Team",2019-07-18,What You Will Be Doing. What you should have. Crisis Text Line is looking for a Business Intelligence Data Scientist to join our ...,https://www.linkedin.com/jobs/view/business-intelligence-data-scientist-community-team-at-crisis-text-line-1380165252?position=19&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Crisis Text LineNew York City, NY, US 
",Entry level,Full-time,"Engineering, Information Technology","Marketing and Advertising, Computer Software, Internet"
Colour Republic LLC,"Miami, Florida",Business Intelligence & Demand Planner Analyst,2019-07-31,Possess creative problem-solving skills and be solutions orientated. Supports the Business President in the tracking of sales management ...,https://www.linkedin.com/jobs/view/business-intelligence-demand-planner-analyst-at-colour-republic-llc-1404859940?position=20&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Colour Republic LLCMiami, Florida 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
 
Data collection, analysis, evaluation and reporting of Sales information:  
  
Job Requirements:  
  
  
Desired Skills:  
  
",Mid-Senior level,Full-time,"Business Development, Strategy/Planning, Research","Consumer Goods, Retail"
Smith Hanley Associates,"Chicago, Illinois",Senior Business Intelligence Analyst,2019-07-31,Prominent Chicago based company is seeking a Senior BI Analyst to design and test reporting tools and reports. Minimum of 4 years of ...,https://www.linkedin.com/jobs/view/senior-business-intelligence-analyst-at-smith-hanley-associates-1405317897?position=21&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Smith Hanley AssociatesChicago, Illinois 
 
",Associate,Full-time,Analyst,"Consumer Services, Telecommunications, Information Technology and Services"
Software start-up in stealthmode,"Irvine, California",Business Intelligence Analyst,2019-08-04,"Our ideal candidate is someone who is curious, comfortable with data from all sources, a strong communicator, and a strong project ...",https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-software-start-up-in-stealthmode-1401272892?position=22&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Software start-up in stealthmodeIrvine, California 
Sourceability was founded 2015 and is a global technology company specializing in the distribution of electronic components and development of digital solutions. 
 
With innovation in mind, Sourcengine was developed to allow our customers a Marketplace to source electronic components. 
 
The Business Intelligence Analyst will be responsible for developing and communicating data insights throughout the company. Our ideal candidate is someone who is curious, comfortable with data from all sources, a strong communicator, and a strong project manager able to manage priorities within a fast-paced, results-oriented environment. 
 
Your role: 
Skills/Experience 
 
We are not offering visa sponsorship at this time. Only candidates who are US Citizens or Green Card holders will be considered. 
 
EQUAL OPPORTUNITY EMPLOYER. It is our policy to abide by all federal, state and local laws prohibiting employment discrimination based on a person’s race, color, religious creed, sex, national origin, ancestry, citizenship status, pregnancy, childbirth, physical disability, mental and/or intellectual disability, age, military status, veteran status (including protected veterans), marital status, registered domestic partner or civil union status, familial status, gender (including sex stereotyping and gender identity or expression), medical condition (including, but not limited to, cancer related or HIV/AIDS related), genetic information, sexual orientation, or any other protected status. 
",Mid-Senior level,Full-time,Analyst,Computer Software
jobleads.com - Careers for Senior-Level Professionals,"New York City, NY, US","Vice President, Business Intelligence",2019-07-29,Knowledge or prior experience in media/entertainment or with a direct to consumer streaming service a plus. Expertise in qualitative and ...,https://www.linkedin.com/jobs/view/vice-president-business-intelligence-at-jobleads-com-careers-for-senior-level-professionals-1402182676?position=23&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"jobleads.com - Careers for Senior-Level ProfessionalsNew York City, NY, US 
",Executive,Full-time,"Business Development, Sales","Information Technology and Services, Financial Services, Hospital & Health Care"
The Kraft Heinz Company,"Chicago, IL, US",Head of Business Intelligence and Data Engineering,2019-07-13,Previous work experience and/or academic coursework must have included At least four (4) years of Data Warehouse experience as a Business...,https://www.linkedin.com/jobs/view/head-of-business-intelligence-and-data-engineering-at-the-kraft-heinz-company-1351692289?position=24&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"The Kraft Heinz CompanyChicago, IL, US 
",Not Applicable,Full-time,Engineering,"Food & Beverages, Food Production, Consumer Goods"
Sevan Multi-Site Solutions,"Downers Grove, Illinois, United States",Business Intelligence Analyst,2019-08-02,    3+ years of experience as a Data Analyst or Business Intelligence Analyst/Developer.     Demonstrated experience visualizing and ...,https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-sevan-multi-site-solutions-1407470197?position=25&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Sevan Multi-Site SolutionsDowners Grove, Illinois, United States 
Job Summary:  Manage data integrity by developing reports and Power BI dashboards determined by internal financial and operational needs. Create and roll out procedures to support business processes.  
  
Responsibilities:  
  
Business Analysis: Uses deep understanding of objectives, issues and root causes and provides insightful, fact-based data analysis to help solve complex problems  
·       Assists with the creation of financial models, research and analyses of trends, leading indicators and business statistics  
·       Utilizes data infrastructure by extracting, aggregating, and dissecting financial data and performance metrics; highlights findings for management review  
·       Performs research and leverages internal and external data to provide input for business case development  
  
  
Business Partnering: Become a member of the Business Solutions Team to align on business priorities and drive effective solutions/execution.  
·       Builds working relationships with business management and other partners in support of key priorities and objectives through complex analytics  
·       Develop, train and maintain process solutions that improve business efficiencies  
  
  
Qualifications:  
  
·       Extensive knowledge of indexing, query optimization and other performance tuning techniques  
·       Capacity for being responsible for data within the organization to reach conclusions, drive solutions and/or recommendations  
·       Demonstrated experience visualizing and presenting date (e.g. Tableau, Microsoft Power BI, etc)  
·       Excellent oral and writing communication skills  
·       Expert knowledge in Excel  
·       Ability to quickly learn new tools to enhance reporting  
  
  
Experience and Education:  
·       Bachelor’s degree in STEM, Finance or Business Administration fields or equivalent  
·       3+ years of experience as a Data Analyst or Business Intelligence Analyst/Developer 
",Mid-Senior level,Full-time,"Analyst, Finance","Construction, Retail"
Frame.io,Greater New York City Area,Business Intelligence Manager,2019-07-26,Frame.io is seeking an eager business intelligence manager to support our data-driven culture and to drive insights across the organization.,https://www.linkedin.com/jobs/view/business-intelligence-manager-at-frame-io-1361460369?position=1&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Frame.ioGreater New York City Area 
 
Our philosophy is simple. At Frame.io, we believe that working with people of different backgrounds and perspectives allows us to elevate each other and helps us build a better product for our users.  
  
We’re proud to be an equal opportunity employer, and are committed to providing all employees with a work environment that celebrates individuality and remains free from any form of discrimination and harassment. We base our employment decisions on the needs of our business, job requirements, and applicants' qualifications. In other words, we only care that you’re the best person for the job. 
",Mid-Senior level,Full-time,"General Business, Analyst","Computer Software, Internet, Online Media"
Roc Search,Greater New York City Area,Business Intelligence Contractor (SQL/ETL) - Apparel & Fashion - New York City,2019-08-04,Experienced at working implementing and fixing reporting data models. As a professional company we gladly welcome applications from ...,https://www.linkedin.com/jobs/view/business-intelligence-contractor-sql-etl-apparel-fashion-new-york-city-at-roc-search-1407770411?position=2&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Roc SearchGreater New York City Area 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
(BI, Business Intelligence, Business Intelligence Developer, SQL, ETL, Contract, Contractor, Consultant, New York, New York City)  
  
Roc Search is currently recruiting for a skilled Business Intelligence Developer to join a top Apparel & Fashion retail company in New York City!  
**This is an initial 4-6 month contract**  
  
Job Responsibilities:  
●   Implement transformations in SQL and dbt for newly designed data models  
  
Job Qualifications:  
This is an urgent hire and candidates can start immediately!  
  
If you feel that you have a strong mix of the above skills and experiences and wish to be considered, please apply for immediate consideration.  
  
As a professional company we gladly welcome applications from persons of any age and background and do not intend to discriminate with advert text and terminology. 
",Mid-Senior level,Contract,"Information Technology, Engineering",Staffing and Recruiting
