company,location,title,post_date,description,url,full_desc,seniority_level,employment_type,job_function,industries
"DiversyFund, Inc.",Greater San Diego Area,Data Scientist,2019-08-04,"You will need a very fine eye for detail, experience working in a start-up culture, and management skills. High-level experience in ...",https://www.linkedin.com/jobs/view/data-scientist-at-diversyfund-inc-1401278003?position=11&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"DiversyFund, Inc.Greater San Diego Area 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
We are looking to hire a Data Scientist to join our team. You will take responsibility for architecting and building our company’s consumer database.  You will be responsible for directing all efforts to find public sources of data, scrap the data, build our warehouse and apply analytical tools and business intelligence to data.  You will need a very fine eye for detail, experience working in a start-up culture, and management skills.  
Managing master data, including creation, updates, and deletion.  
Managing users and user roles.  
Provide quality assurance of imported data, working with quality assurance analyst if necessary.  
Commissioning and decommissioning of data sets.  
Processing confidential data and information according to guidelines.  
Helping develop reports and analysis.  
Managing and designing the reporting environment, including data sources, security, and metadata.  
Supporting the data warehouse in identifying and revising reporting requirements.  
Supporting initiatives for data integrity and normalization.  
Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems.  
Generating reports from single or multiple systems.  
Troubleshooting the reporting database environment and reports.  
Evaluating changes and updates to source production systems.  
Training end users on new reports and dashboards.  
Providing technical expertise on data storage structures, data mining, and data cleansing.  
  
Bachelor’s degree from an accredited university or college in computer science.  
Work experience as a data analyst or in related field.  
Ability to work with stakeholders to assess potential risks.  
Ability to analyze existing tools and databases and provide software solution recommendations.  
Ability to translate business requirements into non-technical, lay terms.  
High-level experience in methodologies and processes for managing large scale databases.  
Demonstrated experience in handling large data sets and relational databases.  
Understanding of addressing and metadata standards.  
High-level written and verbal communication skills. 
",Mid-Senior level,Full-time,Other,"Commercial Real Estate, Investment Management, Financial Services"
"Aetna, a CVS Health Company","New York, New York",Data Scientist,2019-08-03,Seeking a Data Scientist to join CVS Health in our New York offices. 0 - 5 years of relevant programming or analytics experience. With ...,https://www.linkedin.com/jobs/view/data-scientist-at-aetna-a-cvs-health-company-1355271251?position=12&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Aetna, a CVS Health CompanyNew York, New York 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
overview  
  
Seeking a Data Scientist to join CVS Health in our New York offices. We accept new grads.  
  
With the recent acquisition of Aetna, at CVS Health we're revitalizing our entire approach to the healthcare market --  at a time when the relevance of this industry has never been more front and center. We are working on some very interesting concepts and can offer compelling opportunities in the field of Data Science and beyond.   
fundamentals  
  
  
experience   
  
",Entry level,Full-time,"Science, Information Technology, Engineering","Health, Wellness and Fitness, Hospital & Health Care, Information Technology and Services"
Big Cloud,Greater New York City Area,Data Scientist,2019-07-31,"They are seeking to recruit a Data Scientist. Big Data / real-time data processing platform experience (Spark, Hadoop, Flink, etc) Are ...",https://www.linkedin.com/jobs/view/data-scientist-at-big-cloud-1403943985?position=13&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Big CloudGreater New York City Area 
 
Are you a Data Scientist with client facing experience? Can you design and deliver machine learning solutions to clients? Do you want to work or one of the hottest AI companies?  
   
One of the worlds most successful AI companies is expanding their customer facing solutions and services practice. They are seeking to recruit a Data Scientist.  
   
You'll be responsible for managing client data science projects including; demonstrations, developong proof of concepts, managing success criteria and training users.  
   
Other responsibilities will include:  
  
You'll have…  
  
Ideally…  
",Mid-Senior level,Full-time,"Information Technology, Engineering",Computer Software
Burtch Works,"Phoenix, Arizona",Data Scientist,2019-08-01,"The ideal candidate needs to have: Our client, a major company in the Phoenix area , is looking for a Data Scientist to lead ...",https://www.linkedin.com/jobs/view/data-scientist-at-burtch-works-1395353679?position=14&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Burtch WorksPhoenix, Arizona 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Our client, a major company in the Phoenix area , is looking for a Data Scientist to lead groundbreaking firm initiatives.  The Data Scientist will work with executive stakeholders to build, adjust, and maintain models for a variety of internal groups, so communication is key.   
   
The ideal candidate needs to have:  
  
-at least two to five years' experience and a strong analytics background with a hands-on approach  
-strong R and Python skills, expert level analytics acumen, and excellent client consulting skills are required.  
-a degree in statistics, mathematics, or a related quantitative field, with a PhD preferred  
-keen emphasis on the customer is required, and experience in CPG or retail analytics industry is a plus  
Base salary for this position can go up to $120k, great work/life balance and casual company culture!  
   
Keywords: Statistics, Data Science, R, Python, SAS, SQL, Statistical modeling, regression modeling, analytics 
",Associate,Full-time,"Analyst, Research, Marketing","Marketing and Advertising, Market Research, Consumer Goods"
Brillient Corporation,"Silver Spring, Maryland, United States",Data Scientist,2019-07-31,"Brillient is seeking an experienced Data Scientist to join our team supporting a federal contract in Silver Spring, MD. Knowledge and ...",https://www.linkedin.com/jobs/view/data-scientist-at-brillient-corporation-1404649073?position=15&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Brillient CorporationSilver Spring, Maryland, United States 
Brillient is seeking an experienced Data Scientist to join our team supporting a federal contract in Silver Spring, MD.  
  
We have an immediate need for a Data Scientist to our government client’s data science workstream including data aggregation and analytic projects to support both regulatory review and regulatory science. The employee should have significant expertise in data science. 
 
 JOB DESCRIPTION: 
 
EXPERIENCE REQUIREMENT:  
 
This position requires U.S. Citizenship or a permanent resident and the ability to obtain and maintain a Government public trust level security clearance. Candidates must have lived in the United States for at least three out of the past five years prior to your application date. You will also meet the residency qualifications if you lived abroad while on government or military duty or if you were a dependent of a federal employee of military member. 
",Director,Full-time,"Information Technology, Consulting","Management Consulting, Information Technology and Services"
Hays,"Tampa/St. Petersburg, Florida Area",Data Scientist,2019-07-31,"Your Hays recruiter will lead you through a thorough screening process in order to understand your skills, experience, needs, and drivers.",https://www.linkedin.com/jobs/view/data-scientist-at-hays-1405108810?position=16&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"HaysTampa/St. Petersburg, Florida Area 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
DATA SCIENTIST (R OR PYTHON) – PERM - TAMPA, FLThe end client is unable to sponsor or transfer visas for this position; all parties authorized to work in the US without sponsorship are encouraged to apply.Data Scientist Skill Requirements:1. Senior Data Scientist2. Experience with R OR Strong experience with Python 3. 5+ years of deep experience with machine learning. 4. Experience building computer vision systems focusing on satellite imagery 5. Experience using big data frameworks such as hive, spark or similar6. Bachelor's degree in a technical disciplineWhy Hays?You will be working with a professional recruiter who has intimate knowledge of the Information Technology industry and market trends . Your Hays recruiter will lead you through a thorough screening process in order to understand your skills, experience, needs, and drivers. You will also get support on resume writing, interview tips, and career planning, so when there’s a position you really want, you’re fully prepared to get it. Additionally, if the position is a consulting role, Hays offers you the opportunity to enroll in full medical, dental or vision benefits. • Medical • Dental • Vision • 401K • Life Insurance ($20,000 benefit)Nervous about an upcoming interview? Unsure how to write a new resume?Visit the Hays Career Advice section to learn top tips to help you stand out from the crowd when job hunting. Hays is an Equal Opportunity Employer.Drug testing may be required; please contact a recruiter for more information. 
",Mid-Senior level,Contract,Information Technology,Information Technology and Services
Thrive Earlier Detection Corp.,"Cambridge, Massachusetts",Data Scientist,2019-07-31,"We are seeking a highly motivated Data Scientist to join our Biostatistics and Informatics team in Cambridge, MA. Self-motivated, with ...",https://www.linkedin.com/jobs/view/data-scientist-at-thrive-earlier-detection-corp-1403725992?position=17&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Thrive Earlier Detection Corp.Cambridge, Massachusetts 
We are seeking a highly motivated Data Scientist to join our Biostatistics and Informatics team in Cambridge, MA.  The Data Scientist will be responsible for developing machine learning models with multi-omics and other types of data, to enable new molecular diagnostic products. The successful candidate will possess deep statistical knowledge, strong analytical skills, solid scientific background, and a high level of professional maturity.  
   
Major Responsibilities  
   
Requirements and Qualifications   
",Mid-Senior level,Full-time,"Research, Science","Biotechnology, Pharmaceuticals"
"Massive Dynamics, LLC","Princeton, New Jersey, United States",Data Scientist,2019-08-01,The ideal candidate can operate as a data science generalist and has experience in the following: writing production code for data ...,https://www.linkedin.com/jobs/view/data-scientist-at-massive-dynamics-llc-1395341977?position=18&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Massive Dynamics, LLCPrinceton, New Jersey, United States 
 
Massive Dynamics is seeking a Data Scientist to perform duties of quantitative scientific analysis to contribute to our differentiated Data Science products. The role is a full-time position in Princeton, NJ. The successful candidate will work with a team of Data Scientists in the company’s headquarters in Downtown Princeton maintaining existing products and developing new capabilities. 
 
The candidate should have a graduate degree in a quantitative field: mathematics, physics, computer science, engineering, or any other field with a strong quantitative component. Experience doing research that requires statistical analysis of large datasets. Demonstrated problem-solving skills. Fit in a team with a research culture that values work ethic, and a collaborative attitude. The ideal candidate can operate as a data science generalist and has experience in the following: writing production code for data processing pipelines, handling large amounts of data, object-oriented design patterns, mathematical modeling, regression analysis, machine learning, and optimization.  
 
We offer highly competitive compensation and benefits. 
 
Minimum requirements include: 
 
Desirable requirements include: 
",Associate,Full-time,"Engineering, Information Technology",Research
Geophysical Insights,"Houston, Texas, United States",Data Scientist,2019-08-02,"Geophysical Insights continues to demonstrate thought leadership in the E&P industry, and we are looking for talented individuals who are...",https://www.linkedin.com/jobs/view/data-scientist-at-geophysical-insights-1396715446?position=19&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Geophysical InsightsHouston, Texas, United States 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
The selected individual will enjoy professional collaboration and growth in a dynamic, multi-disciplined team of geoscientists, software developers, product managers, and marketers.  The Data Scientist will work with high-skilled professionals in AI, deep learning, and machine learning technologies to solve challenging geoscience problems at the forefront of exploration and field development.  
 
The Data Scientist is responsible for analysis, development, and delivery of data science solutions in an agile environment to advance the growing capabilities of the Paradise AI workbench for the benefit of our customers.   The individual will apply their analytical skills on seismic data, well logs, and Paradise generated results using commercial programming packages like Python or TensorFlow, along with statistical tools, such as SAS.  
 
As a data scientist on the Geophysical Insights team, you will collaborate with geoscience and software development experts to develop and deliver insights and improvements to business processes for our customers. You will partner with leading research and development staff to deliver new insights in AI, deep learning, and machine learning workflows that solve real-world geoscience problems, such as well log interpretation, facies classification, reservoir prediction, and fault identification.  
 
General responsibilities  
 
 
Requirements 
 
  
If you enjoy working on challenging technical problems while applying your creativity and innovative thinking, join us to work with other top-tier professionals. Geophysical Insights continues to demonstrate thought leadership in the E&P industry, and we are looking for talented individuals who are thought-leaders themselves.  
 
Geophysical Insights offers: 
 
 
About Geophysical Insights  
 
Geophysical Insights was founded in 2010 with the vision of applying machine learning methods to seismic interpretation to reduce the risk of exploration and the cost of field development. Over three years in development, Paradise® was officially launched at the Society of Exploration Geophysicists (SEG) Annual Convention in 2013 and has since been adopted worldwide. The rate of adoption is accelerating as the E&P business worldwide turn to digitalization to automate workflows and increase interpretation efficiency.   
 
Geophysical Insights continues to advance the capabilities in the Paradise AI workbench, which is proving to reveal deeper insights faster in the seismic response. Using Paradise, interpreters can extract more information from seismic and well data than would otherwise be possible from traditional interpretation tools. The company’s goal remains developing the next generation of software tools in an intuitive, elegant interface that can be used by all interpreters. 
 
Geophysical Insights is an Equal Opportunity Employer.  
",Mid-Senior level,Full-time,Science,Oil & Energy
"Reliance One, Inc.","Plymouth, Michigan",Data Scientist,2019-07-31,"We are looking for a passionate, creative individual that is able to turn data into information, information into insight and insight ...",https://www.linkedin.com/jobs/view/data-scientist-at-reliance-one-inc-1405324441?position=20&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Reliance One, Inc.Plymouth, Michigan 
Data Scientist Responsibilities  
  
Data Scientist Requirements  
  
Reliance One, Inc. provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.  
   
This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training. 
",Mid-Senior level,Contract,"General Business, Engineering, Analyst","Automotive, Mechanical or Industrial Engineering, Electrical/Electronic Manufacturing"
RealHealthData,"Santa Cruz, California, United States",Data Scientist,2019-07-31,"Programming: As the bulk of this role will be in performing analysis and maintaining databases, proficiency in Python (and/or R), and ...",https://www.linkedin.com/jobs/view/data-scientist-at-realhealthdata-1393481835?position=21&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"RealHealthDataSanta Cruz, California, United States 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
 
Data Scientist - Remote Position 
Successful healthcare data company looking to add a new member to its development team. Job specifics/requirements below: 
 
Database: Familiarity/experience with SQL and graph databases (ie: Neo4J), loading, writing, and querying data and database design.  
 
Data Science: Familiarity/experience performing descriptive and inferential statistical analysis, Classification, and other machine learning techniques in R or Python.  
 
Data wrangling/preparation: manipulate large text files programmatically in order to 'clean up' the file in preparation for ingestion into various databases. Are familiar with and comfortable with using Bash commands, REGEX, and find/replace operations recursively across large numbers of files. 
 
Text Mining: familiarity with the concept of text mining and creating structured tables from unstructured text. Familiar with concepts such as text strings, wildcards, substrings, regex, and boolean logic 
 
Scripting: Create various scripts in any language you may be familiar with (for ex: python or R) in order to perform diverse tasks required by this role. For example, reading and processing input CSVs, integrating different data inputs, performing various analyses, generating output tables/CSVs post-analysis/processing, in-place file manipulation, batch processing of files, etc.  
 
Familiar with FTP (client and account creation), remote desktop, command prompt (creating & running .BAT files), Bash Unix Shell. 
 
Programming: As the bulk of this role will be in performing analysis and maintaining databases, proficiency in Python (and/or R), and SQL (ideally also familiar with graph databases such as Neo4J) is required. Ability to view existing scripts and understand general function, troubleshooting/improving existing scripts, create scripts to help perform day-to-day duties. Familiarity with XMLs (importing, reading data from, exporting, and manipulating). 
 
Organization & time management skills: must be very organized and self-motivated. Control your own workflow, task management (we use Asana for general project/task management), and time management. While there are no strict hour requirements, the candidate is expected to work predominantly during US business hours. Take ownership of processes & projects and be able to complete them at the highest quality while solving problems that may arise.  
 
Communication: Must be able to effectively communicate with coworkers, internal teams, and project stakeholders in a completely remote environment. Candidate must be comfortable explaining/discussing potentially complex technical subjects in an accessible way to non-tech people.  
 
General Tech: advanced use of windows server, accessing network drives, meticulous file management, ability to take ownership of and troubleshoot technological processes 
 
remote, home-based, virtual 
 
",Not Applicable,Full-time,"Engineering, Information Technology","Biotechnology, Pharmaceuticals, Information Technology and Services"
Quantitative Systems,"New York, New York",Data Scientist,2019-08-02,"Strong object oriented design and programming skills using Java (or similar object oriented programming language) is required, with good ...",https://www.linkedin.com/jobs/view/data-scientist-at-quantitative-systems-1406915355?position=22&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Quantitative SystemsNew York, New York 
 
Data Scientist  
NEW YORK  
FULL-TIME  
  
This position is integrated into the development team and responsible for research and development around algorithm strategies, pricing signals, and TCA.  The position also will work with salespeople and clients to explain and customize our execution offering.  
  
Position Description  
  
Required Experience/Skills:  
",Mid-Senior level,Full-time,"Information Technology, Other, Engineering","Information Technology and Services, Information Services, Financial Services"
Hopper,"New York City, NY, US",Data Scientist,2019-08-04,"Take off with us! We’re looking for a data-savvy individual to join our team as a data scientist, to support data-centric product ...",https://www.linkedin.com/jobs/view/data-scientist-at-hopper-1398746895?position=23&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"HopperNew York City, NY, US 
",Entry level,Full-time,"Engineering, Information Technology",Internet
"Aruba, a Hewlett Packard Enterprise company","Santa Clara, CA, US",Data Scientist,2019-07-31,"To create a mobility experience that #GenMobile and IT can rely upon, Aruba Mobility-Defined Networks™ automate infrastructure-wide ...",https://www.linkedin.com/jobs/view/data-scientist-at-aruba-a-hewlett-packard-enterprise-company-1403777515?position=24&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Aruba, a Hewlett Packard Enterprise companySanta Clara, CA, US 
",Not Applicable,Full-time,"Engineering, Information Technology","Information Technology and Services, Computer Software, Internet"
Amazon,"Palo Alto, CA, US",Data Scientist,2019-08-04,"To drive the business to the next level, we are looking for highly motivated Data Scientists who have deep passion for data analytics, ...",https://www.linkedin.com/jobs/view/data-scientist-at-amazon-1412216101?position=25&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"AmazonPalo Alto, CA, US 
",Not Applicable,Full-time,"Engineering, Information Technology","Computer Software, Information Technology and Services, Internet"
Harnham,"New York, New York",Data Scientist,2019-07-26,The successful Candidate will likely have the following skills and experience: YOUR SKILLS AND EXPERIENCE.       Excellent problem ...,https://www.linkedin.com/jobs/view/data-scientist-at-harnham-1380884181?position=1&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"HarnhamNew York, New York 
 
   
 NYC  
 $175,000 - $190,000 base salary + BONUS!  
   
 Learn and work on meaningful initiatives with some of the best and brightest in the biotech and pharmaceutical research industry. Our client provides the  world’s most successful brands with leading market research, combining consumer and real data with analytic solutions to interpret today’s market trends while anticipating tomorrow’s. In addition, we offer a career filled with innovation and growth to the forward-thinking problem solvers who join our team.  
   
THE COMPANY  
   
They offer data, industry expertise, and focusd analytics to provide a base for  our clients grow their businesses in an ever evolving  world. Over 4000 companies worldwide rely on us to help them measure, predict, and improve performance across any and all channels. We have offices globaly.   
   
THE ROLE  
   
Aiming to harness the value of our operations team’s immense collection of data is a huge business initiative, and the firm wants to make a strategic hire a to drive innovation and launch the firm towards future success. The role is a hugely senior level team member who is a deep thinker and will have a powerful voice in driving company growth. They live to create hypotheses, solve problems, and present any and all assumptions back to essential stakeholders by owning the solution from end to end. If freedom, autonomy and head scratching professional challenges rock your world, we could be a great match. Some responsibilities include:  
  
·         Work with the latest machine learning techniques and technologies to influence the innovation of products in a highly collaborative environment  
·         Create the next set of methodologies for data classification and error detection  
·         Leverage big-data technology to design, prototype, develop and optimize production algorithms  
·         Partner with key stakeholders to understand their needs and build new solutions  
  
   
YOUR SKILLS AND EXPERIENCE  
   
The successful Candidate will likely have the following skills and experience:  
   
·         Advanced degree in computer science, statistics, physics, or related quantitative field preferred  
·         Excellent problem solving skills with the ability to design algorithms including data profiling, clustering, anomaly detection, text analytics, and predictive modeling  
·         Strong skills in statistical analyses with abilities in advanced data management and statistical programming using python, R, Java, and/or other languages  
·         Experience with the Hadoop ecosystem, Spark  
·         Familiarity with Agile methodologies  
·         Understanding of cloud platforms like AWS and Azure  
·         Team-oriented, creative, tenacious, curious and passionate about data and data science  
      
Sponsorship not avaliable for this role.   
  
THE BENEFITS  A competitive base salary of $175,000 - $190,000 + Bonus +Flex PTO + Full benefits + Possible Stock Purchase Options..   …   KEYWORDS  Machine Learning| Python| Tableau| Data Science| Statistics | Trading/FX | Capital Markets  
  
",Mid-Senior level,Full-time,"Consulting, Research, Health Care Provider","Biotechnology, Mental Health Care, Health, Wellness and Fitness"
